Population,Number,Uncertainty interval,Crude Rate,ASR (World),Cum. risk
Guinea-Bissau,172,[80.3-368.5],17.1,30.3,5.64
Singapore,172,[140.3-210.9],6.2,3.3,0.81
Austria,170,[132.2-218.6],3.7,1.8,0.37
Uruguay,159,[125.1-202.1],8.9,5.6,0.98
Yemen,153,[63.6-368.3],1,1.8,0.27
Bosnia and Herzegovina,153,[127.9-183.0],9.1,5.2,0.83
Croatia,150,[115.8-194.3],7.1,3.2,0.65
Libya,141,[95.8-207.5],4.1,4.9,1.07
Denmark,140,[79.8-245.6],4.8,2.2,0.53
Syrian Arab Republic,137,[28.8-651.5],1.6,1.9,0.36
Latvia,136,[98.6-187.5],13.4,6.8,1.16
Eritrea,130,[75.3-224.4],7.3,11.4,1.96
Trinidad and Tobago,127,[100.8-160.0],17.9,11.9,2.47
Israel,121,[86.8-168.8],2.8,2,0.42
Gabon,118,[78.2-178.0],10.8,16.4,3.28
Armenia,115,[78.8-167.9],7.3,4.6,0.9
Comoros,109,[63.2-188.1],25.3,39.8,5.84
Ireland,106,[73.0-154.0],4.3,2.8,0.5
Switzerland,100,[74.2-134.7],2.3,1,0.25
Norway,96,[57.5-160.4],3.6,1.7,0.44
Fiji,92,[45.5-186.1],20.8,20.7,4.4
Puerto Rico,83,[58.9-117.0],5.5,2.8,0.51
New Zealand,81,[60.6-108.3],3.3,2,0.39
Albania,74,[53.0-103.3],5.2,3.3,0.53
Lebanon,73,[55.2-96.5],2.2,2,0.41
Equatorial Guinea,73,[48.4-110.1],11.7,21.3,2.84
Jordan,71,[48.0-105.1],1.4,1.9,0.46
Finland,67,[50.8-88.3],2.4,1.1,0.23
Guyana,63,[45.9-86.5],16.1,15.1,3.11
North Macedonia,62,[45.7-84.1],6,3.6,0.64
Estonia,62,[43.8-87.7],8.9,4.3,0.81
Mauritius,61,[36.7-101.5],9.5,5.2,1.63
United Arab Emirates,59,[38.0-91.7],1.9,3.9,0.87
Montenegro,54,[38.5-75.8],17,10.5,1.8
Slovenia,54,[34.8-83.8],5.2,2.4,0.5
Oman,50,[30.5-81.9],2.9,4.2,0.74
Suriname,48,[33.4-69.1],16.4,14.1,2.55
Gaza Strip and West Bank,44,[9.3-209.2],1.7,3.4,1.07
Djibouti,44,[25.5-75.9],9.4,11.2,1.83
Solomon Islands,40,[13.0-122.8],11.8,16.4,2.89
Timor-Leste,39,[24.3-62.6],6,8.8,1.9
"France, La Réunion",37,[22.2-61.5],8,4.8,1.11
Cyprus,33,[20.7-52.5],5.5,2.9,0.81
Bahamas,28,[17.4-45.1],13.9,10.6,2.06
Kuwait,28,[17.3-45.2],1.7,1.8,0.3
Cabo Verde,27,[15.5-47.0],9.8,10.5,1.94
Bhutan,27,[23.9-30.5],7.5,8.4,1.14
Barbados,26,[15.9-42.5],17.5,9,1.98
Belize,25,[15.4-40.7],12.5,14.8,3.25
Maldives,24,[18.9-30.4],12.1,14.1,2.39
Vanuatu,19,[5.5-65.9],12.5,14.9,1.49
"France, New Caledonia",17,[8.5-33.9],12,8.6,2.3
"France, Martinique",15,[8.3-27.2],7.4,3.6,0.69
Brunei Darussalam,14,[7.6-25.9],6.7,5.7,0.7
"France, Guadeloupe",14,[7.5-26.2],6.5,3.1,0.6
Saint Lucia,13,[6.6-25.7],13.9,11,1.98
Bahrain,12,[5.7-25.5],2,2.4,0.31
Qatar,11,[2.3-52.3],1.5,2.9,0.63
Sao Tome and Principe,10,[0.20-413.8],9.1,13.1,4.46
Guam,10,[3.6-28.0],12,8,2.13
Luxembourg,10,[4.8-20.9],3.2,1.8,0.41
French Guiana,9,[3.8-21.3],6,6.5,2.62
French Polynesia,8,[2.5-25.2],5.8,4.5,0.64
Samoa,6,[0.90-42.3],6.3,7.5,0.96
Iceland,5,[1.9-12.9],2.9,1.9,0.3
Malta,5,[1.9-13.3],2.3,1.1,0.26
